model_used,a2c_sr,ppo_sr,ddpg_sr
 ,0.5990301244000825,0.4542987288558314,0.5512071437085583
A2C,0.3893828863035556,0.4358919184100037,0.27221916954229125
PPO,-0.25223706906533416,-0.22613005282724247,-0.017496058327895223
DDPG,-0.028843840629109038,-0.11250242043702989,-0.16138888133854334
A2C,0.49330811371867966,0.40232635087218205,0.5099273415910294
DDPG,0.8741856064779673,0.9918982546057399,1.0804396175652147
DDPG,0.0652235115986331,-0.07429798143330077,-0.10213082128997761
A2C,0.10591828390810715,0.16791441212017255,0.17423765110358874
DDPG,0.009528036246007678,0.014655670481434869,0.023622708682359477
DDPG,0.03274514287781967,0.27296906370033136,-0.26504312480772113
PPO,-0.3012555300356823,-0.23871843631724715,-0.24511836422234504
PPO,-0.07174960656085298,-0.133316911985264,-0.18420311558424826
A2C,0.08041471085136408,-0.775643478843924,-0.0997059146228486
A2C,0.9460306083907107,0.6386151795725047,0.8693623071233297
A2C,-0.9095096174151467,-0.8498320783178852,-0.8294245845575746
DDPG,-0.4123961841316827,-0.15277984693552324,0.23211683300265942
DDPG,0.7630913391112781,0.7889787518244252,1.0518970501468676
DDPG,-0.40039569738841774,-0.5719286527323656,-0.04443315227485395
DDPG,0.09129850959874651,0.2847767744175229,0.3703987349438843
DDPG,0.10165164116445685,0.0383461599154072,0.34071487121676225
DDPG,0.20756806305459655,-0.09682109267322428,-0.01941922647215614
A2C,0.8087049515458198,0.5548340322499262,0.8300144300506499
DDPG,0.015460025225445153,0.2144554378479602,-0.05771195705453982
PPO,0.8243042604367555,0.8653718636845708,0.6696233061220487
PPO,0.7483393624807274,0.6341368507461723,0.33123093254436287
A2C,0.42502980374431537,0.2493989276005162,0.409207871590134
A2C,0.33506616638171366,0.28804816620351,0.6559649920913432
DDPG,0.47648058530098597,0.45358367547840556,0.687754757229783
DDPG,-0.4567075793162674,-0.45645855897167625,-0.45727262094567295
PPO,-0.07604250703446416,-0.09795053479002694,-0.10987341141945824
A2C,-0.41490656792135805,-0.2118274960680775,-0.18319331138340914
DDPG,-0.10537103143513249,0.009611817282981291,-0.04852267817819513
PPO,-0.7715787250869631,-0.9015189887498086,-0.7917176049276966
A2C,0.18036291664818732,0.16593936315121421,0.31207787873762877
DDPG,0.1834464582925471,0.3993048911689937,0.4358137748596082
DDPG,-0.7151451279237571,-0.10095340885662532,-0.19872069591804659
PPO,-0.5285400974873798,-0.7521605216475954,-0.5293907536104526
A2C,-0.35087590025211923,-0.5084257518737774,-0.6405945463672988
A2C,-0.017062571014490824,0.2585269550154793,-0.08097194760380048
PPO,0.29175192139882006,0.21536905060684033,0.19211668918743577
A2C,-0.6483919642030544,-0.6169819104161837,-0.5969840437723056
DDPG,-0.20714161367873687,-0.28790413961299255,-0.2168270086094381
A2C,-0.5507156205644275,-0.031042795987319613,-0.49627427219703063
PPO,-0.5797860815025432,-0.561574684670122,-0.6135896379772992
PPO,0.45980574136504876,0.3318875675240159,0.7685213323910812
DDPG,-0.3259710848120389,-0.35148182135191947,0.1290870291710853
DDPG,-0.019020997764332158,0.19879940899946874,0.09944273014760507
PPO,0.30849527854113534,-0.13976039421706646,0.2652137843145642
A2C,-0.5257389580080492,-0.5218431040669992,-0.5375412586135146
PPO,0.3636257954987035,0.2978234351400874,0.30911712247381823
A2C,-0.604174305891479,-0.5922452253278383,-0.4094371928797138
DDPG,-0.14518057904847068,-0.22615076194279168,-0.5752308590898242
A2C,-0.6688782260832635,-0.735184165126735,-0.6784640620039859
A2C,-0.45458901877441477,-0.4522380922077905,-0.45251907530410995
PPO,0.40071039869807856,-0.1013377406322464,0.38947419144595546
A2C,0.44807601535483116,-0.040730716340759636,-0.9581585352883003
A2C,0.0,0.0,0.0
